Utility ID,Plant Code,Generator ID,Technology,Prime Mover,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Status,Synchronized to Transmission Grid,Planned Retirement Month,Planned Retirement Year,Associated with Combined Heat and Power System,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Time from Cold Shutdown to Full Load
58258,59370,PV1,Solar Photovoltaic,PV,S,X,X,1.80,,1.80,1.80,,N,OP,X,,,N,X,SUN,,,,,,,,,,
58258,59371,PV1,Solar Photovoltaic,PV,S,X,X,1.90,,1.90,1.90,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59147,59373,1,Natural Gas Fired Combustion Turbine,GT,S,X,X,1.20,0.80,1.20,1.20,0.20,N,OP,X,,,Y,T,NG,,,,,,,,,,1H
59147,59373,2,Natural Gas Fired Combustion Turbine,GT,S,X,X,1.20,0.80,1.20,1.20,0.20,N,OP,X,,,Y,T,NG,,,,,,,,,,1H
59147,59373,3,Natural Gas Fired Combustion Turbine,GT,S,X,X,1.20,0.80,1.20,1.20,0.20,N,OP,X,,,Y,T,NG,,,,,,,,,,1H
59147,59373,4,Natural Gas Fired Combustion Turbine,GT,S,X,X,1.10,0.80,1.10,1.10,0.20,N,OP,X,,,Y,T,NG,,,,,,,,,,1H
59143,59374,OMSLR,Solar Photovoltaic,PV,S,X,X,5.00,0.90,5.00,5.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59150,59375,ROSE1,Solar Photovoltaic,PV,J,X,X,2.00,,2.00,2.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59149,59376,DUNN1,Solar Photovoltaic,PV,J,X,X,2.00,,2.00,2.00,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59153,59377,CARY1,Solar Photovoltaic,PV,J,X,X,1.50,,1.50,1.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59148,59378,GEN1,Natural Gas Fired Combustion Turbine,GT,S,X,X,4.60,0.80,4.30,4.30,1.60,N,OP,X,,,Y,T,NG,,,,,,,,,,1H
59156,59379,1,Petroleum Liquids,IC,S,X,X,1.80,0.80,1.10,1.10,0.00,N,OP,X,,,N,X,DFO,,,,,,,,,,10M
59158,59380,WLD1,Solar Photovoltaic,PV,S,X,X,19.50,,19.50,19.50,,N,OP,X,,,N,X,SUN,,,,,,,,,,
59157,59381,GT-1,Natural Gas Fired Combustion Turbine,GT,S,X,X,5.00,0.80,3.00,4.00,2.30,N,OP,X,,,Y,T,NG,NG,,,,,NG,,,,1H
18260,59382,SVEP1,Geothermal,ST,S,X,X,3.70,0.90,1.80,2.30,1.00,N,OP,X,,,N,X,GEO,,,,,,,,,,12H
59160,59383,KATO,All Other,ST,S,X,X,2.00,0.85,0.80,0.80,0.30,N,OP,X,,,N,X,WH,,,,,,,,,,1H
